1.0.0	ACT I
1.3.320	What will I do, thinkest thou? 
1.3.321	Why, go to bed, and sleep. 
1.3.322	I will incontinently drown myself. 
1.3.323	If thou dost, I shall never love thee after. Why, thou silly gentleman! 
1.3.324	It is silliness to live when to live is torment; and then have we a prescription to die when death is our physician. 
1.3.325	O villainous! I have looked upon the world for four times seven years; and since I could distinguish betwixt a benefit and an injury, I never found man that knew how to love himself. Ere I would say, I would drown myself for the love of a guinea-hen, I would change my humanity with a baboon. 
1.3.326	What should I do? I confess it is my shame to be so fond; but it is not in my virtue to amend it. 
1.3.327	Virtue! a fig! 'tis in ourselves that we are thus or thus. Our bodies are our gardens, to the which our wills are gardeners; so that if we will plant nettles, or sow lettuce. set hyssop and weed up thyme, supply it with one gender of herbs, or distract it with many, either to have it sterile with idleness, or manured with industry, why, the power and corrigible authority of this lies in our wills. If the balance of our lives had not one scale of reason to poise another of sensuality, the blood and baseness of our natures would conduct us to most preposterous conclusions: but we have reason to cool our raging motions, our carnal stings, our unbitted lusts, whereof I take this that you call love to be a sect or scion. 
1.3.328	It cannot be. 
1.3.329	It is merely a lust of the blood and a permission of the will. Come, be a man. Drown thyself! drown cats and blind puppies. I have professed me thy friend and I confess me knit to thy deserving with cables of perdurable toughness; I could never better stead thee than now. Put money in thy purse; follow thou the wars; defeat thy favor with an usurped beard; I say, put money in thy purse. It cannot be that Desdemona should long continue her love to the Moor,--put money in thy purse,--nor he his to her: it was a violent commencement, and thou shalt see an answerable sequestration:--put but money in thy purse. These Moors are changeable in their wills:--fill thy purse with money:--the food that to him now is as luscious as locusts, shall be to him shortly as bitter as coloquintida. She must change for youth: when she is sated with his body, she will find the error of her choice: she must have change, she must: therefore put money in thy purse. If thou wilt needs damn thyself, do it a more delicate way than drowning. Make all the money thou canst: if sanctimony and a frail vow betwixt an erring barbarian and a supersubtle Venetian be not too hard for my wits and all the tribe of hell, thou shalt enjoy her; therefore make money. A pox of drowning thyself! it is clean out of the way: seek thou rather to be hanged in compassing thy joy than to be drowned and go without her. 
1.3.330	Wilt thou be fast to my hopes, if I depend on the issue? 
1.3.331	Thou art sure of me:--go, make money:--I have told thee often, and I re-tell thee again and again, I hate the Moor: my cause is hearted; thine hath no less reason. Let us be conjunctive in our revenge against him; if thou canst cuckold him, thou dost thyself a pleasure, me a sport. There are many events in the womb of time which will be delivered. Traverse! go, provide thy money. We will have more of this to-morrow. Adieu. 
1.3.332	Where shall we meet i' the morning? 
1.3.333	At my lodging. 
1.3.334	I'll be with thee betimes. 
1.3.335	Go to; farewell. Do you hear, Roderigo? 
1.3.336	What say you? 
1.3.337	No more of drowning, do you hear? 
1.3.338	I am changed: I'll go sell all my land. [Exit. 
1.3.339	Thus do I ever make my fool my purse; 
1.3.340	For I mine own gain'd knowledge should profane, 
1.3.341	If I would time expend with such a snipe, 
1.3.342	But for my sport and profit. I hate the Moor; 
1.3.343	And it is thought abroad, that 'twixt my sheets 
1.3.344	He hath done my office: I know not if't be true; 
1.3.345	But I, for mere suspicion in that kind, 
1.3.346	Will do as if for surety. He holds me well; 
1.3.347	The better shall my purpose work on him. 
1.3.348	Cassio's a proper man: let me see now: 
1.3.349	To get his place and to plume up my will 
1.3.350	In double knavery--How, how ?--Let's see:-- 
1.3.351	After some time, to abuse Othello's ear 
1.3.352	That he is too familiar with his wife. 
1.3.353	He hath a person and a smooth dispose 
1.3.354	To be suspected, framed to make women false. 
1.3.355	The Moor is of a free and open nature, 
1.3.356	That thinks men honest that but seem to be so, 
1.3.357	And will as tenderly be led by the nose 
1.3.358	As asses are. 
1.3.359	I have't. It is engender'd. Hell and night 
1.3.360	Must bring this monstrous birth to the world's light. [Exit. 
2.0.0	ACT II
2.1.1	A Sea-port in Cyprus. An open place near the quay. 
2.1.2	Enter MONTANO and two Gentlemen.
2.1.3	What from the cape can you discern at sea? 
2.1.4	Nothing at all: it is a high-wrought flood; 
2.1.5	I cannot, 'twixt the heaven and the main, 
2.1.6	Descry a sail. 
2.1.7	Methinks the wind hath spoke aloud at land; 
2.1.8	A fuller blast ne'er shook our battlements: 
2.1.9	If it hath ruffian'd so upon the sea, 
2.1.10	What ribs of oak, when mountains melt on them, 
2.1.11	Can hold the mortise? What shall we hear of this? 
2.1.12	A segregation of the Turkish fleet: 
2.1.13	For do but stand upon the foaming shore, 
2.1.14	The chidden billow seems to pelt the clouds; 
2.1.15	The wind-shaked surge, with high and monstrous mane, 
2.1.16	Seems to cast water on the burning bear, 
2.1.17	And quench the guards of the ever-fixed pole: 
2.1.18	I never did like molestation view 
2.1.19	On the enchafed flood. 
2.1.20	If that the Turkish fleet 
2.1.21	Be not enshelter'd and embay'd, they are drown'd; 
2.1.22	It is impossible they bear it out. Enter a third Gentleman. 
2.1.23	News, lads! our wars are done. 
2.1.24	This desperate tempest hath so bang'd the Turks, 
2.1.25	That their designment halts: a noble ship of Venice 
2.1.26	Hath seen a grievous wreck and sufferance 
2.1.27	On most part of their fleet. 
2.1.28	How! is this true? 
2.1.29	The ship is here put in, 
2.1.30	A Veronesa; Michael Cassio, 
2.1.31	Lieutenant to the warlike Moor Othello, 
2.1.32	Is come on shore: the Moor himself at sea, 
2.1.33	And is in full commission here for Cyprus. 
2.1.34	I am glad on't; 'tis a worthy governor.
2.1.35	But this same Cassio, though he speak of comfort 
2.1.36	Touching the Turkish loss, yet he looks sadly, 
2.1.37	And prays the Moor be safe; for they were parted 
2.1.38	With foul and violent tempest. 
2.1.39	Pray heavens he be; 
2.1.40	For I have served him, and the man commands 
2.1.41	Like a full soldier. Let's to the seaside, ho! 
2.1.42	As well to see the vessel that's come in 
2.1.43	As to throw out our eyes for brave Othello, 
2.1.44	Even till we make the main and the aerial blue 
2.1.45	An indistinct regard. 
2.1.46	Come, let's do so; 
2.1.47	For every minute is expectancy 
2.1.48	Of more arrivance. Enter CASSIO. 
2.1.49	Thanks, you the valiant of this warlike isle, 
2.1.50	That so approve the Moor! O, let the heavens 
2.1.51	Give him defence against the elements, 
2.1.52	For I have lost him on a dangerous sea. 
2.1.53	Is he well shipp'd? 
2.1.54	His bark is stoutly timber'd, and his pilot 
2.1.55	Of very expert and approved allowance; 
2.1.56	Therefore my hopes, not surfeited to death, 
2.1.57	Stand in bold cure. [A cry within 'A sail, a sail, a sail!'] Enter a fourth Gentleman. 
2.1.58	What noise? 
2.1.59	The town is empty; on the brow o' the sea 
2.1.60	Stand ranks of people, and they cry 'A sail!' 
2.1.61	My hopes do shape him for the governor. [Guns heard. 
2.1.62	They do discharge their shot of courtesy: 
2.1.63	Our friends at least. 
2.1.64	I pray you, sir, go forth, 
2.1.65	And give us truth who 'tis that is arrived. 
2.1.66	I shall. [Exit. 
2.1.67	But, good lieutenant, is your general wived? 
2.1.68	Most fortunately: he hath achieved a maid 
2.1.69	That paragons description and wild fame; 
2.1.70	One that excels the quirks of blazoning pens, 
2.1.71	And in the essential vesture of creation 
2.1.72	Does tire the ingener. Re-enter second Gentleman. 
2.1.73	How now! who has put in? 
2.1.74	'Tis one Iago, ancient to the general. 
2.1.75	Has had most favorable and happy speed: 
2.1.76	Tempests themselves, high seas and howling winds, 
2.1.77	The gutter'd rocks and congregated sands,-- 
2.1.78	Traitors ensteep'd to clog the guiltless keel,-- 
2.1.79	As having sense of beauty, do omit 
2.1.80	Their mortal natures, letting so safely by 
2.1.81	The divine Desdemona. 
2.1.82	What is she? 
2.1.83	She that I spake of, our great captain's captain, 
2.1.84	Left in the conduct of the bold lago, 
2.1.85	Whose footing here anticipates our thoughts 
2.1.86	A se'nnight's speed. Great Jove, Othello guard, 
2.1.87	And swell his sail with thine own powerful breath, 
2.1.88	That he may bless this bay with his tall ship, 
2.1.89	Make love's quick pants in Desdemona's arms, 
2.1.90	Give renew'd fire to our extincted spirits, 
2.1.91	And bring all Cyprus comfort! Enter DESDEMONA, EMILIA, IAGO, RODERIGO, and Attendants. 
2.1.92	O, behold, 
2.1.93	The riches of the ship is come on shore! 
2.1.94	Ye men of Cyprus, let her have your knees. 
2.1.95	Hail to thee, lady! and the grace of heaven, 
2.1.96	Before, behind thee and on every hand, 
2.1.97	Enwheel thee round! 
2.1.98	I thank you, valiant Cassio. 
2.1.99	What tidings can you tell me of my lord? 
2.1.100	He is not yet arrived: nor know I aught 
2.1.101	But that he's well and will be shortly here. 
2.1.102	O, but I fear--How lost you company? 
2.1.103	The great contention of the sea and skies 
2.1.104	Parted our fellowship--But, hark! a sail. [Within 'A sail, a sail!' Guns heard. 
2.1.105	They give their greeting to the citadel: 
2.1.106	This likewise is a friend. 
2.1.107	See for the news. [Exit Gentleman. 
2.1.108	Good ancient, you are welcome. [To Emilia] 
2.1.109	Welcome, mistress: 
2.1.110	Let it not gall your patience, good Iago, 
2.1.111	That I extend my manners; 'tis my breeding 
2.1.112	That gives me this bold show of courtesy. [Kissing her. 
2.1.113	Sir, would she give you so much of her lips 
2.1.114	As of her tongue she oft bestows on me, 
2.1.115	You'ld have enough. 
2.1.116	Alas, she has no speech. 
2.1.117	In faith, too much; 
2.1.118	I find it still, when I have list to sleep: 
2.1.119	Marry, before your ladyship, I grant, 
2.1.120	She puts her tongue a little in her heart, 
2.1.121	And chides with thinking. 
2.1.122	You have little cause to say so. 
2.1.123	Come on, come on; you are pictures out of doors, 
2.1.124	Bells in your parlors, wild-cats in your kitchens, 
2.1.125	Saints in your injuries, devils being offended, 
2.1.126	Players in your housewifery, and housewives in your beds. 
2.1.127	O, fie upon thee, slanderer! 
2.1.128	Nay, it is true, or else I am a Turk: 
2.1.129	You rise to play and go to bed to work. 
2.1.130	You shall not write my praise. 
2.1.131	No, let me not. 
2.1.132	What wouldst thou write of me, if thou shouldst praise me? 
2.1.133	O gentle lady, do not put me to 't; 
2.1.134	For I am nothing, if not critical. 
2.1.135	Come on, assay. There's one gone to the harbor? 
2.1.136	Ay, madam. 
2.1.137	I am not merry; but I do beguile 
2.1.138	The thing I am, by seeming otherwise. 
2.1.139	Come, how wouldst thou praise me? 
2.1.140	I am about it; but indeed my invention 
2.1.141	Comes from my pate as birdlime does from frize; 
2.1.142	It plucks out brains and all: but my Muse labors, 
2.1.143	And thus she is deliver'd. 
2.1.144	If she be fair and wise, fairness and wit, 
2.1.145	The one's for use, the other useth it. 
2.1.146	Well praised! How if she be black and witty? 
2.1.147	If she be black, and thereto have a wit, 
2.1.148	She'll find a white that shall her blackness fit. 
2.1.149	Worse and worse. 
2.1.150	How if fair and foolish? 
2.1.151	She never yet was foolish that was fair; 
2.1.152	For even her folly help'd her to an heir. 
2.1.153	These are old fond paradoxes to make fools laugh i' the alehouse. What miserable praise hast thou for her that's foul and foolish? 
2.1.154	There's none so foul and foolish thereunto, 
2.1.155	But does foul pranks which fair and wise ones do. 
2.1.156	O heavy ignorance! thou praisest the worst best. But what praise couldst thou bestow on a deserving woman indeed, one that, in the authority of her merit, did justly put on the vouch of very malice itself? 
2.1.157	She that was ever fair and never proud, 
2.1.158	Had tongue at will and yet was never loud, 
2.1.159	Never lack'd gold and yet went never gay, 
2.1.160	Fled from her wish and yet said 'Now I may,' 
2.1.161	She that being anger'd, her revenge being nigh, 
2.1.162	Bade her wrong stay and her displeasure fly, 
2.1.163	She that in wisdom never was so frail 
2.1.164	To change the cod's head for the salmon's tail, 
2.1.165	She that could think and ne'er disclose her mind, 
2.1.166	See suitors following and not look behind, 
2.1.167	She was a wight, if ever such wight were,-- 
2.1.168	To do what? 
2.1.169	To suckle fools and chronicle small beer. 
2.1.170	O most lame and impotent conclusion! Do not learn of him, Emilia, though he be thy husband. How say you, Cassio? is he not a most profane and liberal counsellor? 
2.1.171	He speaks home, madam: you may relish him more in the soldier than in the scholar. 
2.1.172	 Aside He takes her by the palm: ay, well said, whisper: with as little a web as this will I ensnare as great a fly as Cassio. Ay, smile upon her, do; I will gyve thee in thine own courtship. You say true; 'tis so, indeed: if such tricks as these strip you out of your lieutenantry, it had been better you had not kissed your three fingers so oft, which now again you are most apt to play the sir in. Very good; well kissed! an excellent courtesy! 'tis so, indeed. Yet again your fingers to your lips? would they were clyster-pipes for your sake! [Trumpet within.] 
2.1.173	The Moor! 
2.1.174	I know his trumpet. 
2.1.175	'Tis truly so. 
2.1.176	Let's meet him and receive him. 
2.1.177	Lo, where he comes! Enter OTHELLO and Attendants. 
2.1.178	O my fair warrior! 
2.1.179	My dear Othello! 
2.1.180	It gives me wonder great as my content 
2.1.181	To see you here before me. O my soul's joy! 
2.1.182	If after every tempest come such calms, 
2.1.183	May the winds blow till they have waken'd death! 
2.1.184	And let the laboring bark climb hills of seas 
2.1.185	Olympus-high and duck again as low 
2.1.186	As hell's from heaven! If it were now to die, 
2.1.187	'Twere now to be most happy; for, I fear, 
2.1.188	My soul hath her content so absolute 
2.1.189	That not another comfort like to this 
2.1.190	Succeeds in unknown fate. 
2.1.191	The heavens forbid 
2.1.192	But that our loves and comforts should increase, 
2.1.193	Even as our days do grow! 
2.1.194	Amen to that, sweet powers! 
2.1.195	I cannot speak enough of this content; 
2.1.196	It stops me here; it is too much of joy: 
2.1.197	And this, and this, the greatest discords be [Kissing her. 
2.1.198	That e'er our hearts shall make! 
2.1.199	 [Aside] O, you are well tuned now! 
2.1.200	But I'll set down the pegs that make this music, 
2.1.201	As honest as I am. 
2.1.202	Come, let us to the castle. 
2.1.203	News, friends; our wars are done, the Turks are drown'd. 
2.1.204	How does my old acquaintance of this isle? 
2.1.205	Honey, you shall be well desired in Cyprus; 
2.1.206	I have found great love amongst them. O my sweet, 
2.1.207	I prattle out of fashion, and I dote 
2.1.208	In mine own comforts. I prithee, good Iago, 
2.1.209	Go to the bay and disembark my coffers: 
2.1.210	Bring thou the master to the citadel; 
2.1.211	He is a good one, and his worthiness 
2.1.212	Does challenge much respect. Come, Desdemona, 
2.1.213	Once more, well met at Cyprus. [Exeunt Othello, Desdemona, and Attendants. 
2.1.214	Do thou meet me presently at the harbor. Come hither. If thou be'st valiant, --as, they say, base men being in love have then a nobility in their natures more than is native to them,--list me. The lieutenant tonight watches on the court of guard:--first, I must tell thee this--Desdemona is directly in love with him. 
2.1.215	With him! why, 'tis not possible. 
2.1.216	Lay thy finger thus, and let thy soul be instructed. Mark me with what violence she first loved the Moor, but for bragging and telling her fantastical lies: and will she love him still for prating? let not thy discreet heart think it. Her eye must be fed; and what delight shall she have to look on the devil? When the blood is made dull with the act of sport, there should be, again to inflame it and to give satiety a fresh appetite, loveliness in favor, sympathy in years, manners and beauties; all which the Moor is defective in: now, for want of these required conveniences, her delicate tenderness will find itself abused, begin to heave the gorge, disrelish and abhor the Moor; very nature will instruct her in it and compel her to some second choice. Now, sir, this granted,--as it is a most pregnant and unforced position--who stands so eminent in the degree of this fortune as Cassio does? a knave very voluble; no further conscionable than in putting on the mere form of civil and humane seeming, for the better compassing of his salt and most hidden loose affection? why, none; why, none: a slipper and subtle knave, a finder of occasions, that has an eye can stamp and counterfeit advantages, though true advantage never present itself; a devilish knave. Besides, the knave is handsome, young, and hath all those requisites in him that folly and green minds look after: a pestilent complete knave; and the woman hath found him already. 
2.1.217	I cannot believe that in her; she's full of most blessed condition. 
2.1.218	Blessed fig's-end! the wine she drinks is made of grapes: if she had been blessed, she would never have loved the Moor. Blessed pudding! Didst thou not see her paddle with the palm of his hand? didst not mark that? 
2.1.219	Yes, that I did; but that was but courtesy. 
2.1.220	Lechery, by this hand; an index and obscure prologue to the history of lust and foul thoughts. They met so near with their lips that their breaths embraced together. Villanous thoughts, Roderigo! when these mutualities so marshal the way, hard at hand comes the master and main exercise, the incorporate conclusion, Pish! But, sir, be you ruled by me: I have brought you from Venice. Watch you to-night; for the command, I'll lay't upon you. Cassio knows you not. I'll not be far from you: do you find some occasion to anger Cassio, either by speaking too loud, or tainting his discipline; or from what other course you please, which the time shall more favorably minister. 
2.1.221	Well. 
2.1.222	Sir, he is rash and very sudden in choler, and haply may strike at you: provoke him, that he may; for even out of that will I cause these of Cyprus to mutiny; whose qualification shall come into no true taste again but by the displanting of Cassio. So shall you have a shorter journey to your desires by the means I shall then have to prefer them; and the impediment most profitably removed, without the which there were no expectation of our prosperity. 
2.1.223	I will do this, if I can bring it to any opportunity. 
2.1.224	I warrant thee. Meet me by and by at the citadel: I must fetch his necessaries ashore. Farewell. 
2.1.225	Adieu. [Exit. 
2.1.226	That Cassio loves her, I do well believe it; 
2.1.227	That she loves him, 'tis apt and of great credit: 
2.1.228	The Moor, howbeit that I endure him not, 
2.1.229	Is of a constant, loving, noble nature, 
2.1.230	And I dare think he'll prove to Desdemona 
2.1.231	A most dear husband. Now, I do love her too; 
2.1.232	Not out of absolute lust, though peradventure 
2.1.233	I stand accountant for as great a sin, 
2.1.234	But partly led to diet my revenge, 
2.1.235	For that I do suspect the lusty Moor 
2.1.236	Hath leap'd into my seat; the thought whereof 
2.1.237	Doth, like a poisonous mineral, gnaw my inwards; 
2.1.238	And nothing can or shall content my soul 
2.1.239	Till I am even'd with him, wife for wife, 
2.1.240	Or failing so, yet that I put the Moor 
2.1.241	At least into a jealousy so strong 
2.1.242	That judgement cannot cure. Which thing to do, 
2.1.243	If this poor trash of Venice, whom I trash 
2.1.244	For his quick hunting, stand the putting on, 
2.1.245	I'll have our Michael Cassio on the hip, 
2.1.246	Abuse him to the Moor in the rank garb-- 
2.1.247	For I fear Cassio with my night-cap too-- 
2.1.248	Make the Moor thank me, love me and reward me, 
2.1.249	For making him egregiously an ass 
2.1.250	And practising upon his peace and quiet 
2.1.251	Even to madness. 'Tis here, but yet confused: 
2.1.252	Knavery's plain face is never seen till used. [Exit.
2.2.1	A street. 
2.2.2	Enter a Herald with a proclamation; People following.
2.2.3	It is Othello's pleasure, our noble and valiant general, that, upon certain tidings now arrived, importing the mere perdition of the Turkish fleet, every man put himself into triumph; some to dance, some to make bonfires, each man to what sport and revels his addiction leads him: for, besides these beneficial news, it is the celebration of his nuptial. So much was his pleasure should be proclaimed All offices are open, and there is full liberty of feasting from this present hour of five till the bell have told eleven. Heaven bless the isle of Cyprus and our noble general Othello! [Exeunt.
2.3.1	A hall in the castle. 
2.3.2	Enter OTHELLO, DESDEMONA, CASSIO, and Attendants.
2.3.3	Good Michael, look you to the guard to-night: 
2.3.4	Let's teach ourselves that honorable stop, 
2.3.5	Not to outsport discretion. 
2.3.6	Iago hath direction what to do; 
2.3.7	But, notwithstanding, with my personal eye 
2.3.8	Will I look to't. 
2.3.9	Iago is most honest. 
2.3.10	Michael, good night: to-morrow with your earliest 
2.3.11	Let me have speech with you.
2.3.12	[To Desdemona] Come, my dear love, 
2.3.13	The purchase made, the fruits are to ensue; 
2.3.14	That profit's yet to come 'tween me and you. 
2.3.15	Good night. [Exeunt Othello, Desdemona, and Attendants. Enter IAGO. 
2.3.16	Welcome, Iago; we must to the watch. 
2.3.17	Not this hour, lieutenant; 'tis not yet ten o' the clock. Our general casts us thus early for the love of his Desdemona; who let us not therefore blame: he hath not yet made wanton the night with her; and she is sport for Jove. 
2.3.18	She's a most exquisite lady. 
2.3.19	And, I'll warrant her, full of game. 
2.3.20	Indeed, she's a most fresh and delicate creature. 
2.3.21	What an eye she has! methinks it sounds a parley of provocation. 
2.3.22	An inviting eye; and yet methinks right modest. 
2.3.23	And when she speaks, is it not an alarum to love? 
2.3.24	She is indeed perfection. 
2.3.25	Well, happiness to their sheets! Come, lieutenant, I have a stoup of wine; and here without are a brace of Cyprus gallants that would fain have a measure to the health of black Othello. 
2.3.26	Not to-night, good Iago: I have very poor and unhappy brains for drinking: I could well wish courtesy would invent some other custom of entertainment. 
2.3.27	O, they are our friends; but one cup: 
2.3.28	I'll drink for you. 
2.3.29	I have drunk but one cup to-night, and that was craftily qualified too, and, behold, what innovation it makes here: I am unfortunate in the infirmity, and dare not task my weakness with any more. 
2.3.30	What, man! 'tis a night of revels; the gallants desire it. 
2.3.31	Where are they? 
2.3.32	Here at the door; I pray you, call them in. 
2.3.33	I'll do 't; but it dislikes me. [Exit. 
2.3.34	If I can fasten but one cup upon him, 
2.3.35	With that which he hath drunk to-night already, 
2.3.36	He'll be as full of quarrel and offence 
2.3.37	As my young mistress' dog. Now, my sick fool Roderigo, 
2.3.38	Whom love hath turn'd almost the wrong side out, 
2.3.39	To Desdemona hath to-night caroused 
2.3.40	Potations pottle-deep; and he's to watch: 
2.3.41	Three lads of Cyprus, noble swelling spirits, 
2.3.42	That hold their honors in a wary distance, 
2.3.43	The very elements of this warlike isle, 
2.3.44	Have I to-night fluster'd with flowing cups, 
2.3.45	And they watch too. Now, 'mongst this flock of drunkards, 
2.3.46	Am I to put our Cassio in some action 
2.3.47	That may offend the isle.--But here they come: 
2.3.48	If consequence do but approve my dream, 
2.3.49	My boat sails freely, both with wind and stream. Re-enter CASSIO; with him MONTANO and Gentlemen; Servants following with wine. 
2.3.50	'Fore God, they have given me a rouse already. 
2.3.51	Good faith, a little one; not past a pint, as I am a soldier. 
2.3.52	Some wine, ho! 
2.3.53	 [Sings] And let me the canakin clink, clink; 
2.3.54	And let me the canakin clink: 
2.3.55	A soldier's but a man;
2.3.56	A life's but a span; 
2.3.57	Why, then, let a soldier drink. 
2.3.58	Some wine, boys! 
2.3.59	'Fore God, an excellent song. 
2.3.60	I learned it in England, where, indeed, they are most potent in potting: your Dane, your German, and your swag-bellied Hollander--Drink, ho!--are nothing to your English. 
2.3.61	Is your Englishman so expert in his drinking? 
2.3.62	Why, he drinks you, with facility, your Dane dead drunk; he sweats not to overthrow your Almain; he gives your Hollander a vomit, ere the next pottle can be filled. 
2.3.63	To the health of our general! 
2.3.64	I am for it, lieutenant; and I'll do you justice. 
2.3.65	O sweet England! 
2.3.66	King Stephen was a worthy peer, His breeches cost him but a crown; 
2.3.67	He held them sixpence all too dear, With that he call'd the tailor lown. 
2.3.68	He was a wight of high renown, And thou art but of low degree: 
2.3.69	'Tis pride that pulls the country down; Then take thine auld cloak about thee. 
2.3.70	Some wine, ho! 
2.3.71	Why, this is a more exquisite song than the other. 
2.3.72	Will you hear't again? 
2.3.73	No; for I hold him to be unworthy of his place that does those things. Well, God's above all; and there be souls must be saved, and there be souls must not be saved. 
2.3.74	It's true, good lieutenant. 
2.3.75	For mine own part,--no offence to the general, nor any man of quality,--I hope to be saved. 
2.3.76	And so do I too, lieutenant. 
2.3.77	Ay, but, by your leave, not before me; the lieutenant is to be saved before the ancient. Let's have no more of this; let's to our affairs.--Forgive us our sins!--Gentlemen, let's look to our business. Do not think, gentlemen, I am drunk: this is my ancient; this is my right hand, and this is my left: I am not drunk now; I can stand well enough, and speak well enough. 
2.3.78	Excellent well. 
2.3.79	Why, very well then; you must not think then that I am drunk. [Exit. 
2.3.80	To the platform, masters; come, let's set the watch. 
2.3.81	You see this fellow that is gone before; 
2.3.82	He is a soldier fit to stand by Caesar 
2.3.83	And give direction: and do but see his vice; 
2.3.84	'Tis to his virtue a just equinox, 
2.3.85	The one as long as the other: 'tis pity of him. 
2.3.86	I fear the trust Othello puts him in, 
2.3.87	On some odd time of his infirmity, 
2.3.88	Will shake this island. 
2.3.89	But is he often thus? 
2.3.90	'Tis evermore the prologue to his sleep: 
2.3.91	He'll watch the horologe a double set, 
2.3.92	If drink rock not his cradle. 
2.3.93	It were well 
2.3.94	The general were put in mind of it. 
2.3.95	Perhaps he sees it not; or his good nature 
2.3.96	Prizes the virtue that appears in Cassio, 
2.3.97	And looks not on his evils: is not this true? Enter RODERIGO. 
2.3.98	 [Aside to him] How now, Roderigo! 
2.3.99	I pray you, after the lieutenant; go. [Exit Roderigo, 
2.3.100	And 'tis great pity that the noble Moor 
2.3.101	Should hazard such a place as his own second 
2.3.102	With one of an ingraft infirmity: 
2.3.103	It were an honest action to say 
2.3.104	So to the Moor. 
2.3.105	Not I, for this fair island: 
2.3.106	I do love Cassio well; and would do much 
2.3.107	To cure him of this evil--But, hark! what noise? [Cry within: 'Help! help!' Re-enter CASSIO, driving in RODERIGO. 
2.3.108	You rogue! you rascal! 
2.3.109	What's the matter, lieutenant? 
2.3.110	A knave teach me my duty! 
2.3.111	I'll beat the knave into a twiggen bottle. 
2.3.112	Beat me! 
2.3.113	Dost thou prate, rogue? [Striking Roderigo. 
2.3.114	Nay, good lieutenant; [Staying him. 
2.3.115	I pray you, sir, hold your hand. 
2.3.116	Let me go, sir, 
2.3.117	Or I'll knock you o'er the mazzard. 
2.3.118	Come, come, you're drunk. 
2.3.119	Drunk! [They fight. 
2.3.120	 Aside to Roderigo Away, I say; go out, and cry a mutiny. [Exit Roderigo. 
2.3.121	Nay, good lieutenant,--alas, gentlemen;-- 
2.3.122	Help, ho!--Lieutenant,--sir,--Montano,-sir;-- 
2.3.123	Help, masters!--Here's a goodly watch indeed! [Bell rings. 
2.3.124	Who's that which rings the bell?--Diablo, ho! 
2.3.125	The town will rise: God's will, lieutenant, hold! 
2.3.126	You will be shamed for ever. Re-enter OTHELLO and Attendants. 
2.3.127	What is the matter here? 
2.3.128	'Zounds, I bleed still; I am hurt to the death. [Faints. 
2.3.129	Hold, for your lives! 
2.3.130	Hold, ho! Lieutenant,--sir,--Montano,--gentlemen,-- 
2.3.131	Have you forgot all sense of place and duty? 
2.3.132	Hold! the general speaks to you; hold, hold, for shame! 
2.3.133	Why, how now, ho! from whence ariseth this? 
2.3.134	Are we turn'd Turks, and to ourselves do that 
2.3.135	Which heaven hath forbid the Ottomites? 
2.3.136	For Christian shame, put by this barbarous brawl: 
2.3.137	He that stirs next to carve for his own rage 
2.3.138	Holds his soul light; he dies upon his motion. 
2.3.139	Silence that dreadful bell: it frights the isle 
2.3.140	>From her propriety. What is the matter, masters? 
2.3.141	Honest Iago, that look'st dead with grieving, 
2.3.142	Speak, who began this? on thy love, I charge thee. 
2.3.143	I do not know: friends all but now, even now, 
2.3.144	In quarter, and in terms like bride and groom 
2.3.145	Devesting them for bed; and then, but now-- 
2.3.146	As if some planet had unwitted men-- 
2.3.147	Swords out, and tilting one at other's breast, 
2.3.148	In opposition bloody. I cannot speak 
2.3.149	Any beginning to this peevish odds; 
2.3.150	And would in action glorious I had lost 
2.3.151	Those legs that brought me to a part of it! 
2.3.152	How comes it, Michael, you are thus forgot? 
2.3.153	I pray you, pardon me; I cannot speak. 
2.3.154	Worthy Montano, you were wont be civil; 
2.3.155	The gravity and stillness of your youth 
2.3.156	The world hath noted, and your name is great 
2.3.157	In mouths of wisest censure: what's the matter, 
2.3.158	That you unlace your reputation thus 
2.3.159	And spend your rich opinion for the name 
2.3.160	Of a night-brawler? give me answer to it. 
2.3.161	Worthy Othello, I am hurt to danger: 
2.3.162	Your officer, Iago, can inform you,-- 
2.3.163	While I spare speech, which something now offends me,-- 
2.3.164	Of all that I do know: nor know I aught 
2.3.165	By me that's said or done amiss this night; 
2.3.166	Unless self-charity be sometimes a vice, 
2.3.167	And to defend ourselves it be a sin 
2.3.168	When violence assails us. 
2.3.169	Now, by heaven, 
2.3.170	My blood begins my safer guides to rule; 
2.3.171	And passion, having my best judgement collied, 
2.3.172	Assays to lead the way: if I once stir, 
2.3.173	Or do but lift this arm. the best of you 
2.3.174	Shall sink in my rebuke. Give me to know 
2.3.175	How this foul rant began, who set it on; 
2.3.176	And he that is approved in this offence, 
2.3.177	Though he had twinn'd with me, both at a birth, 
2.3.178	Shall lose me. What! in a town of war, 
2.3.179	Yet wild, the people's hearts brimful of fear, 
2.3.180	To manage private and domestic quarrel, 
2.3.181	In night, and on the court and guard of safety! 
2.3.182	'Tis monstrous. Iago, who began 't? 
2.3.183	If partially affined, or leagued in office, 
2.3.184	Thou dost deliver more or less than truth, 
2.3.185	Thou art no soldier. 
2.3.186	Touch me not so near: 
2.3.187	I had rather have this tongue cut from my mouth 
2.3.188	Than it should do offence to Michael Cassio; 
2.3.189	Yet, I persuade myself, to speak the truth 
2.3.190	Shall nothing wrong him. Thus it is, general. 
